handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
BarackObama,Barack Obama,3847,15461,1,1,628150,10,226003,94829519
ObamaNews,Barack Obama News,3478,62520,1,1,3103,2,4986,420131
fansofobama,Barack Obama,3084,43285,1,1,1416,11,363,56275
ThePresObama,Barack Obama,2130,2427,1,1,366,5669,562,97794
JohnKingatED,John King,3024,6297,1,1,267,514,4580,289249
TeamBarackObama,Team Barack Obama,2688,27505,1,1,2057,6148,158,10526
davidmaraniss,david maraniss,2866,3921,1,1,642,3864,536,23530
Barack_and_Joe,Barack & Joe,710,739,1,1,2,10327,92,36591
FerialGovashiri,Ferial Govashiri,2948,2319,1,1,1346,17522,85,6685
dklaidman,Daniel Klaidman,2997,3075,0,1,874,140,143,3282
StrautMike,Mike Strautmanis,2454,846,0,1,448,1098,40,1670
BarackObama2Day,Barack Obama News,2261,62530,1,1,54960,0,76,66554
ObamaMLA,Barack Obama MLA,1298,923,0,1,102,402,12,838
Plaid_Obama,Plaid Obama (Fake),2810,3370,1,1,262,253,77,9475
zesty_obama,Zesty Barack Obama,563,6598,0,1,2310,27855,261,4461
Weinsteinlaw,Andrew Weinstein,3116,12227,1,1,882,6702,220,9414
BarackObama_ir,BarackObama.ir,2563,28027,1,1,10124,223,60,12823
BarackObamaHub,Barack Obama Hub,2774,9788,1,1,795,0,13,4273
NadavKander,Nadav Kander,3034,1232,1,1,106,47,333,50942
Southside_Movie,Southside With You,567,347,0,1,34,485,21,3149
GEPIndonesia,GEPI #ItsOurTime,2387,5487,1,1,515,186,188,94965
obama1_obama,Barack Obama,1335,57291,0,1,1473,0,24,1848
AskBarack,Barack Obama,1149,55,1,1,584,11,6,1026
ObamaStrawman,Barack H Obama,2328,5628,0,1,45718,348,230,53124
obamaknowsjazz,Barack Obama's Jazz,1995,1078,1,1,94,21,5,740
_BaracObama,Barack Obama,2388,12604,1,1,2175,15,69,14855
champagnenetti,X,1822,20568,1,1,476,17529,3,781
DebraLangford,Debra Langford,2714,675,0,1,206,500,15,1055
RippDemUp,RiPPa,3290,389041,1,1,5397,3444,409,9655
ProfessorHannah,Mark Hannah,3051,892,1,1,1304,127,61,1531
mtnlovertoo,Janet Wright,3158,17801,1,1,15858,14917,246,23058
mcgillab,Anthony McGill,3105,1545,1,1,1169,606,110,3673
njfuture,Nick Jones Jr.,3106,19106,1,1,303,8648,33,27659
barackobama615,Barack Obama,498,15,0,1,14,1,0,237
obamafarewell,Obama Farewell Page,349,10,0,1,616,3,12,11780
mcdonutts,barack obama,1545,25723,1,1,1719,8686,8,1561
