handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
Samsung,Samsung Electronics,1285,2723,1,1,1562,222,685,313731
SamsungMobile,Samsung Mobile,2319,4503,1,1,437,172,12015,12327409
SamsungMobileUS,Samsung Mobile US,3476,138711,1,1,20599,58934,8956,5359653
SamsungTV,Samsung Televisions,2607,5910,1,1,405,255,583,116840
SamsungMobileME,SamsungMobileArabia,2591,16787,1,1,2637,308,599,241216
SamsungUS,Samsung USA,3068,36161,1,1,31922,6404,5220,673924
Samsung_IN,Samsung India,2202,13198,1,1,40,460,182,204077
SamsungCanada,Samsung Canada,2684,19524,1,1,3745,5983,548,58425
SamsungLEVANT,Samsung LEVANT,2448,13257,1,1,2332,1917,169,364654
SamsungMobileSA,Samsung Mobile SA,3010,23949,1,1,1199,14321,511,592151
SamsungGulf,Samsung Gulf,2920,6440,1,1,2016,105,194,120783
SamsungSA,Samsung South Africa,2727,18871,1,1,308,9906,327,462245
SamsungAU,Samsung Australia,1591,25061,1,1,826,3988,133,52310
SamsungUK,Samsung UK,2662,48039,1,1,30,673,1138,176158
SamsungSupport,Samsung Support USA,3172,454770,1,1,31849,472,1224,140735
samsungireland,Samsung Ireland,2402,6735,1,1,331,1256,87,20519
SamsungBizUSA,Samsung Business USA,1968,7402,1,1,1617,649,612,74948
SamsungExynos,Samsung Exynos,2398,2620,1,1,1016,265,304,80825
samsungph,Samsung Philippines,2076,5575,1,1,290,338,191,61520
SamsungHelpUK,Support Centre,617,69200,0,1,1,41,37,10954
SamsungRomania,Samsung Romania,2690,7843,1,1,302,369,95,10589
Samsung_Pak,Samsung Pakistan,1603,2902,1,1,12,425,91,235736
SamsungTVUSA,Samsung TV USA,1591,13724,1,1,4551,1739,220,105879
samsung_dev,SAMSUNG DEVELOPERS,3131,4772,1,1,684,859,505,30185
samsungmobileng,Samsung Mobile NG,2062,16475,1,1,670,786,124,178555
837NYC,Samsung 837 NYC,633,3926,0,1,305,3065,92,45883
samsungsport,Samsung Sport,3130,8960,1,1,686,1131,137,35910
